Data,Medicao,Sem_Medicao
2021-06-13,231735.573238,False
2021-06-14,234449.664116,False
2021-06-15,210739.455148,False
2021-06-16,229184.848659,False
2021-06-17,,False
2021-06-18,142298.999455,False
2021-06-19,198476.398649,False
2021-06-20,191865.017673,False
2021-06-21,240884.756272,False
2021-06-22,,False
2021-06-23,226621.577385,False
2021-06-24,,False
2021-06-25,,False
2021-06-26,243880.246949,False
2021-06-27,206950.70945,False
2021-06-28,260898.221728,False
2021-06-29,256077.174715,False
2021-06-30,65054.217743,False
2021-07-01,,False
2021-07-02,,False
2021-07-03,241079.515761,False
2021-07-04,261849.429419,False
2021-07-05,259551.826991,False
2021-07-06,200326.79041,False
2021-07-07,265930.760647,False
2021-07-08,261663.126841,False
2021-07-09,262766.842908,False
2021-07-10,,False
2021-07-11,211367.699792,False
2021-07-12,267641.009907,False
2021-07-13,237919.305745,False
2021-07-14,248083.690503,False
2021-07-15,253816.302004,False
2021-07-16,261704.900176,False
2021-07-17,250513.886215,False
2021-07-18,220115.097023,False
2021-07-19,255765.145129,False
2021-07-20,279386.29777,False
2021-07-21,219150.246369,False
2021-07-22,224797.873479,False
2021-07-23,255546.349404,False
2021-07-24,288488.233357,False
2021-07-25,280064.427705,False
2021-07-26,281041.748064,False
2021-07-27,284563.142141,False
2021-07-28,,False
2021-07-29,285963.19736,False
2021-07-30,212891.045943,False
2021-07-31,296605.052583,False
2021-08-01,144254.163176,False
2021-08-02,286929.42616,False
2021-08-03,,False
2021-08-04,255404.578577,False
2021-08-05,179130.98037,False
2021-08-06,230917.504913,False
2021-08-07,,False
2021-08-08,,False
2021-08-09,285472.285409,False
2021-08-10,304509.306143,False
2021-08-11,305540.73209,False
2021-08-12,267194.747908,False
2021-08-13,147696.542841,False
2021-08-14,192463.046861,False
2021-08-15,139206.968316,False
2021-08-16,,False
2021-08-17,,False
2021-08-18,,False
2021-08-19,266205.700177,False
2021-08-20,296847.548766,False
2021-08-21,,False
2021-08-22,327740.423793,False
2021-08-23,339799.921534,False
2021-08-24,336707.856593,False
2021-08-25,,False
2021-08-26,318253.483532,False
2021-08-27,306534.684464,False
2021-08-28,318086.234028,False
2021-08-29,,False
2021-08-30,224100.31009,False
2021-08-31,191648.69432,False
2021-09-01,178415.212299,False
2021-09-02,,False
2021-09-03,298385.250644,False
2021-09-04,357968.785618,False
2021-09-05,362450.42426,False
2021-09-06,336453.749705,False
2021-09-07,168727.059342,False
2021-09-08,185753.155789,False
2021-09-09,282090.412633,False
2021-09-10,280551.536136,False
2021-09-11,201135.95913,False
2021-09-12,199663.918625,False
2021-09-13,355329.147688,False
2021-09-14,,False
2021-09-15,342944.357738,False
2021-09-16,188535.892238,False
2021-09-17,,False
2021-09-18,319543.419496,False
2021-09-19,,False
2021-09-20,269357.080079,False
2021-09-21,340395.2935,False
2021-09-22,297637.112589,False
2021-09-23,402221.871721,False
2021-09-24,329776.990746,False
2021-09-25,326949.412873,False
2021-09-26,383189.684347,False
2021-09-27,332888.363596,False
2021-09-28,334292.501473,False
2021-09-29,345394.667925,False
2021-09-30,,False
2021-10-01,344416.38954,False
2021-10-02,358678.860358,False
2021-10-03,,False
2021-10-04,211514.664816,False
2021-10-05,223768.451914,False
2021-10-06,,False
2021-10-07,242201.668884,False
2021-10-08,94975.307316,False
2021-10-09,,False
2021-10-10,71391.614246,False
2021-10-11,57790.659888,False
2021-10-12,100600.016625,False
2021-10-13,276592.122522,False
2021-10-14,366863.667667,False
2021-10-15,,False
2021-10-16,136501.170242,False
2021-10-17,85321.66726,False
2021-10-18,104507.637764,False
2021-10-19,113084.536639,False
2021-10-20,98099.18501,False
2021-10-21,,False
2021-10-22,,False
2021-10-23,331705.253056,False
2021-10-24,215070.937817,False
2021-10-25,143431.897308,False
2021-10-26,282062.387966,False
2021-10-27,367112.392363,False
2021-10-28,364812.592977,False
2021-10-29,219625.385586,False
2021-10-30,210046.331342,False
2021-10-31,221362.607099,False
2021-11-01,77635.208293,False
