Data,Medicao
2021-06-13,231735.573238
2021-06-14,234449.664116
2021-06-15,210739.455148
2021-06-16,229184.848659
2021-06-17,191617.221002
2021-06-18,142298.999455
2021-06-19,198476.398649
2021-06-20,191865.017673
2021-06-21,240884.756272
2021-06-22,72174.00276
2021-06-23,226621.577385
2021-06-24,195638.089921
2021-06-25,245455.636812
2021-06-26,243880.246949
2021-06-27,206950.70945
2021-06-28,260898.221728
2021-06-29,256077.174715
2021-06-30,65054.217743
2021-07-01,208603.815417
2021-07-02,243817.893894
2021-07-03,241079.515761
2021-07-04,261849.429419
2021-07-05,259551.826991
2021-07-06,200326.79041
2021-07-07,265930.760647
2021-07-08,261663.126841
2021-07-09,262766.842908
2021-07-10,263366.901866
2021-07-11,211367.699792
2021-07-12,267641.009907
2021-07-13,237919.305745
2021-07-14,248083.690503
2021-07-15,253816.302004
2021-07-16,261704.900176
2021-07-17,250513.886215
2021-07-18,220115.097023
2021-07-19,255765.145129
2021-07-20,279386.29777
2021-07-21,219150.246369
2021-07-22,224797.873479
2021-07-23,255546.349404
2021-07-24,288488.233357
2021-07-25,280064.427705
2021-07-26,281041.748064
2021-07-27,284563.142141
2021-07-28,253238.388854
2021-07-29,285963.19736
2021-07-30,212891.045943
2021-07-31,296605.052583
2021-08-01,144254.163176
2021-08-02,286929.42616
2021-08-03,257404.358848
2021-08-04,255404.578577
2021-08-05,179130.98037
2021-08-06,230917.504913
2021-08-07,164119.247076
2021-08-08,238129.426687
2021-08-09,285472.285409
2021-08-10,304509.306143
2021-08-11,305540.73209
2021-08-12,267194.747908
2021-08-13,147696.542841
2021-08-14,192463.046861
2021-08-15,139206.968316
2021-08-16,186391.771454
2021-08-17,229103.828754
2021-08-18,257312.734103
2021-08-19,266205.700177
2021-08-20,296847.548766
2021-08-21,344482.587152
2021-08-22,327740.423793
2021-08-23,339799.921534
2021-08-24,336707.856593
2021-08-25,335140.429819
2021-08-26,318253.483532
2021-08-27,306534.684464
2021-08-28,318086.234028
2021-08-29,271014.663578
2021-08-30,224100.31009
2021-08-31,191648.69432
2021-09-01,178415.212299
2021-09-02,232867.483168
2021-09-03,298385.250644
2021-09-04,357968.785618
2021-09-05,362450.42426
2021-09-06,336453.749705
2021-09-07,168727.059342
2021-09-08,185753.155789
2021-09-09,282090.412633
2021-09-10,280551.536136
2021-09-11,201135.95913
2021-09-12,199663.918625
2021-09-13,355329.147688
2021-09-14,321366.166747
2021-09-15,342944.357738
2021-09-16,188535.892238
2021-09-17,207891.479233
2021-09-18,319543.419496
2021-09-19,365150.674524
2021-09-20,269357.080079
2021-09-21,340395.2935
2021-09-22,297637.112589
2021-09-23,402221.871721
2021-09-24,329776.990746
2021-09-25,326949.412873
2021-09-26,383189.684347
2021-09-27,332888.363596
2021-09-28,334292.501473
2021-09-29,345394.667925
2021-09-30,299493.819012
2021-10-01,344416.38954
2021-10-02,358678.860358
2021-10-03,358808.691771
2021-10-04,211514.664816
2021-10-05,223768.451914
2021-10-06,152810.190646
2021-10-07,242201.668884
2021-10-08,94975.307316
2021-10-09,95109.271266
2021-10-10,71391.614246
2021-10-11,57790.659888
2021-10-12,100600.016625
2021-10-13,276592.122522
2021-10-14,366863.667667
2021-10-15,320446.207704
2021-10-16,136501.170242
2021-10-17,85321.66726
2021-10-18,104507.637764
2021-10-19,113084.536639
2021-10-20,98099.18501
2021-10-21,161754.285277
2021-10-22,359941.311964
2021-10-23,331705.253056
2021-10-24,215070.937817
2021-10-25,143431.897308
2021-10-26,282062.387966
2021-10-27,367112.392363
2021-10-28,364812.592977
2021-10-29,219625.385586
2021-10-30,210046.331342
2021-10-31,221362.607099
2021-11-01,77635.208293
